Type,Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Type,Timestamp,Mag_X,Mag_Y,Mag_Z
ags,70610890,192,-4,10335,40,91,25,geo,70610841,-34,206,-495
ags,70610900,167,-29,10274,44,61,13,geo,70610851,-40,204,-492
ags,70610910,165,-4,10327,44,81,10,geo,70610861,-37,199,-495
ags,70610920,187,-7,10352,28,74,12,geo,70610871,-39,204,-494
ags,70610930,182,-19,10303,35,83,28,geo,70610881,-35,206,-495
ags,70610940,177,5,10374,24,88,10,geo,70610891,-35,207,-494
ags,70610950,202,-26,10318,45,78,23,geo,70610901,-40,200,-490
ags,70610960,165,-2,10344,41,81,32,geo,70610911,-37,200,-494
ags,70610970,180,-4,10296,30,85,2,geo,70610921,-49,222,-528
ags,70610980,160,-7,10349,18,78,13,geo,70610931,-37,209,-494
ags,70610990,143,-24,10340,47,81,-1,geo,70610941,-40,206,-494
ags,70611000,199,-14,10264,23,78,20,geo,70610951,-39,211,-510
ags,70611010,187,-24,10308,24,75,13,geo,70610961,-37,207,-494
ags,70611020,172,-4,10310,39,75,13,geo,70610971,-37,211,-495
ags,70611030,197,-26,10296,18,68,26,geo,70610981,-37,202,-494
ags,70611040,172,-17,10271,48,74,7,geo,70610991,-35,211,-492
ags,70611050,192,-22,10310,35,91,10,geo,70611001,-39,207,-495
ags,70611060,138,-22,10357,24,56,2,geo,70611011,-40,204,-507
ags,70611070,177,-29,10310,26,96,10,geo,70611021,-39,200,-495
ags,70611080,177,-51,10332,35,100,6,geo,70611031,-44,212,-497
ags,70611090,194,8,10344,25,72,1,geo,70611041,-42,216,-495
ags,70611100,228,-56,10335,40,97,6,geo,70611051,-42,212,-502
ags,70611110,185,25,10342,28,77,5,geo,70611061,-44,211,-502
ags,70611120,150,-2,10364,25,96,9,geo,70611071,-44,214,-499
ags,70611130,143,-19,10379,13,67,17,geo,70611081,-42,202,-495
ags,70611140,194,-26,10322,38,78,22,geo,70611091,-42,211,-508
ags,70611150,185,0,10298,39,84,16,geo,70611101,-37,206,-490
ags,70611160,177,-14,10371,44,84,18,geo,70611111,-37,200,-494
ags,70611170,177,-14,10374,34,81,16,geo,70611121,-44,211,-507
ags,70611180,199,-14,10332,17,88,29,geo,70611131,-35,207,-492
ags,70611190,202,-41,10410,36,77,27,geo,70611141,-40,200,-494
ags,70611200,177,-19,10335,24,72,0,geo,70611151,-37,207,-495
ags,70611210,221,-48,10281,29,73,7,geo,70611161,-39,209,-494
ags,70611220,228,-7,10403,43,79,13,geo,70611171,-45,202,-494
ags,70611230,150,-7,10320,18,85,3,geo,70611181,-42,209,-497
ags,70611240,199,-39,10308,35,65,7,geo,70611191,-40,216,-497
ags,70611250,180,-4,10313,39,80,27,geo,70611201,-39,202,-495
ags,70611260,197,-26,10384,56,70,29,geo,70611211,-40,204,-497
ags,70611270,160,-12,10274,40,85,17,geo,70611221,-37,211,-495
ags,70611280,194,-39,10418,34,85,27,geo,70611231,-37,202,-494
ags,70611290,189,3,10327,21,65,13,geo,70611241,-42,202,-494
ags,70611300,155,-31,10318,28,80,17,geo,70611251,-40,206,-490
ags,70611310,197,-9,10313,29,81,2,geo,70611261,-39,209,-495
ags,70611320,167,-68,10305,35,72,13,geo,70611271,-37,200,-494
ags,70611330,180,-22,10340,24,76,7,geo,70611281,-40,211,-508
ags,70611340,187,-7,10384,43,78,16,geo,70611291,-37,207,-494
ags,70611350,177,-26,10344,37,66,9,geo,70611301,-40,209,-499
ags,70611360,172,27,10352,29,79,13,geo,70611311,-34,206,-494
ags,70611370,199,-31,10305,38,79,13,geo,70611321,-39,202,-494
ags,70611380,204,8,10352,50,69,28,geo,70611331,-44,202,-494
ags,70611390,189,-17,10325,27,75,19,geo,70611341,-35,204,-492
ags,70611400,177,-51,10274,9,87,16,geo,70611351,-40,202,-494
ags,70611410,194,-19,10332,38,86,33,geo,70611361,-37,202,-494
ags,70611420,165,-7,10349,28,61,11,geo,70611371,-40,207,-497
ags,70611430,141,13,10313,31,75,7,geo,70611381,-37,204,-495
ags,70611440,194,-17,10335,38,84,18,geo,70611391,-40,211,-497
ags,70611450,177,-12,10340,44,81,21,geo,70611401,-37,211,-494
ags,70611460,192,-41,10344,42,84,14,geo,70611411,-40,204,-494
ags,70611470,187,-22,10315,31,106,7,geo,70611421,-40,209,-494
ags,70611480,172,-26,10281,33,85,19,geo,70611431,-39,209,-505
ags,70611490,241,-14,10337,35,81,6,geo,70611441,-37,204,-494
ags,70611500,182,-26,10308,14,85,19,geo,70611451,-39,211,-497
ags,70611510,170,-31,10362,11,71,10,geo,70611461,-42,206,-507
ags,70611520,177,-17,10254,48,94,7,geo,70611471,-37,206,-492
ags,,,,,,,,geo,70611481,-40,206,-494
ags,,,,,,,,geo,70611491,-39,206,-492
ags,,,,,,,,geo,70611501,-44,212,-508
ags,,,,,,,,geo,70611511,-42,214,-510
ags,,,,,,,,geo,70611521,-40,214,-502
