Type,Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Type,Timestamp,Mag_X,Mag_Y,Mag_Z
ags,70610650,74,-107,10184,-3,70,14,geo,70610601,196,401,-609
ags,70610660,55,-124,10140,9,67,4,geo,70610611,196,403,-606
ags,70610670,91,-100,10086,2,63,-7,geo,70610621,196,401,-608
ags,70610680,94,-93,10121,-1,85,21,geo,70610631,194,401,-613
ags,70610690,74,-122,10081,-10,75,16,geo,70610641,194,400,-609
ags,70610700,74,-100,10108,-26,51,21,geo,70610651,189,415,-637
ags,70610710,57,-95,10147,7,73,-8,geo,70610661,196,403,-608
ags,70610720,62,-90,10135,-3,73,26,geo,70610671,194,401,-608
ags,70610730,35,-88,10172,9,67,24,geo,70610681,201,403,-609
ags,70610740,84,-105,10160,-19,77,22,geo,70610691,194,405,-608
ags,70610750,108,-100,10179,-17,74,37,geo,70610701,197,405,-608
ags,70610760,62,-95,10103,-2,61,10,geo,70610711,196,401,-609
ags,70610770,79,-141,10160,-38,76,9,geo,70610721,194,403,-608
ags,70610780,82,-127,10101,8,61,15,geo,70610731,189,414,-642
ags,70610790,84,-107,10101,-18,74,29,geo,70610741,196,400,-611
ags,70610800,43,-119,10155,-19,77,10,geo,70610751,197,401,-611
ags,70610810,128,-93,10160,-10,73,20,geo,70610761,197,403,-609
ags,70610820,67,-95,10177,-16,71,15,geo,70610771,196,405,-611
ags,70610830,86,-46,10138,-19,70,29,geo,70610781,196,403,-609
ags,70610840,74,-98,10128,0,71,7,geo,70610791,194,405,-609
ags,70610850,91,-115,10081,4,83,13,geo,70610801,186,425,-644
ags,70610860,74,-80,10142,-6,72,18,geo,70610811,194,401,-609
ags,70610870,106,-102,10186,-1,64,-7,geo,70610821,194,405,-609
ags,70610880,72,-61,10186,0,70,13,geo,70610831,186,420,-642
ags,70610890,104,-100,10150,-13,77,21,geo,70610841,201,401,-608
ags,70610900,77,-95,10147,-10,73,16,geo,70610851,197,403,-611
ags,70610910,104,-98,10133,-6,60,20,geo,70610861,199,401,-608
ags,70610920,40,-119,10103,9,93,13,geo,70610870,196,401,-606
ags,70610930,45,-119,10182,-18,68,17,geo,70610880,188,417,-640
ags,70610940,89,-119,10138,-20,77,22,geo,70610891,197,401,-608
ags,70610950,104,-115,10091,-5,70,5,geo,70610900,194,403,-608
ags,70610960,99,-102,10089,-2,65,15,geo,70610910,196,400,-608
ags,70610970,74,-119,10179,-1,63,28,geo,70610920,197,400,-609
ags,70610980,74,-78,10113,-13,70,21,geo,70610930,197,403,-609
ags,70610990,72,-122,10128,4,64,19,geo,70610940,197,403,-609
ags,70611000,94,-105,10164,3,57,10,geo,70610951,196,401,-609
ags,70611010,57,-107,10130,8,73,36,geo,70610960,199,405,-609
ags,70611020,60,-66,10169,-12,62,13,geo,70610970,196,400,-606
ags,70611030,79,-58,10118,-7,86,29,geo,70610980,194,401,-608
ags,70611040,121,-76,10128,4,67,26,geo,70610990,196,403,-609
ags,70611050,77,-110,10155,-14,73,39,geo,70611001,201,403,-608
ags,70611060,86,-134,10177,-26,70,12,geo,70611011,196,401,-608
ags,70611070,74,-73,10133,-24,64,13,geo,70611021,191,415,-637
ags,70611080,72,-88,10130,-17,50,4,geo,70611031,197,401,-609
ags,70611090,84,-93,10125,-16,49,22,geo,70611041,199,401,-609
ags,70611100,79,-76,10140,-2,78,14,geo,70611051,189,415,-644
ags,70611110,60,-124,10152,1,72,1,geo,70611061,197,405,-608
ags,70611120,60,-102,10152,-11,70,16,geo,70611071,189,420,-640
ags,70611130,45,-122,10160,-2,59,15,geo,70611081,192,401,-609
ags,70611140,77,-112,10111,-15,64,26,geo,70611091,196,401,-608
ags,70611150,57,-107,10118,-6,78,27,geo,70611101,194,400,-608
ags,70611160,91,-112,10111,5,67,-1,geo,70611111,197,408,-606
ags,70611170,79,-85,10150,9,72,13,geo,70611121,196,400,-606
ags,70611180,72,-134,10123,10,70,12,geo,70611131,197,401,-609
ags,70611190,67,-102,10123,-15,97,15,geo,70611141,194,403,-611
ags,70611200,101,-124,10155,-36,67,19,geo,70611151,197,401,-609
ags,70611210,62,-107,10108,-9,80,17,geo,70611161,199,400,-609
ags,70611220,52,-66,10162,-27,62,19,geo,70611171,197,400,-611
ags,70611230,111,-161,10116,7,60,7,geo,70611181,186,417,-642
ags,70611240,94,-71,10162,-16,72,30,geo,70611191,199,400,-611
ags,70611250,65,-100,10130,-5,50,19,geo,70611201,197,403,-609
ags,70611260,74,-71,10167,-10,75,13,geo,70611211,197,401,-608
ags,70611270,47,-98,10169,-7,49,16,geo,70611221,196,403,-606
ags,70611280,86,-71,10135,-20,85,13,geo,70611231,196,401,-608
ags,70611290,101,-85,10182,17,80,1,geo,70611241,197,405,-608
