Type,Timestamp,X,Y,Z,Gyro_X,Gyro_Y,Gyro_Z
geo,23415680,230,-124,-538
geo,23415690,238,-124,-518
geo,23415700,238,-127,-519
geo,23415710,238,-129,-506
geo,23415720,236,-127,-518
geo,23415730,233,-124,-536
geo,23415740,238,-127,-514
geo,23415750,235,-125,-508
geo,23415760,236,-127,-506
geo,23415770,238,-124,-509
geo,23415780,236,-127,-511
geo,23415790,233,-120,-534
geo,23415800,235,-127,-523
geo,23415810,236,-127,-504
geo,23415820,235,-127,-508
geo,23415830,240,-124,-519
geo,23415840,238,-127,-518
geo,23415850,238,-127,-521
geo,23415860,233,-124,-518
geo,23415870,240,-125,-508
geo,23415880,235,-130,-509
geo,23415890,228,-120,-536
geo,23415900,238,-127,-521
geo,23415910,240,-129,-513
geo,23415920,238,-125,-521
geo,23415930,236,-125,-523
geo,23415941,236,-125,-504
geo,23415951,236,-129,-506
geo,23415961,236,-127,-503
geo,23415971,240,-127,-514
geo,23415981,236,-129,-523
geo,23415991,236,-127,-504
geo,23416001,238,-132,-506
geo,23416011,238,-125,-504
geo,23416021,236,-127,-513
geo,23416031,236,-125,-513
geo,23416041,238,-127,-523
geo,23416051,234,-117,-539
geo,23416061,238,-129,-504
geo,23416071,238,-125,-504
geo,23416081,238,-127,-508
geo,23416091,235,-127,-509
geo,23416101,238,-130,-514
geo,23416111,241,-129,-508
geo,23416121,235,-127,-508
geo,23416131,235,-127,-503
geo,23416141,238,-129,-516
geo,23416150,231,-130,-504
geo,23416161,238,-125,-521
geo,23416171,236,-129,-511
geo,23416180,236,-125,-519
geo,23416191,238,-127,-513
geo,23416201,236,-125,-521
geo,23416211,240,-124,-523
geo,23416221,236,-127,-521
geo,23416231,240,-125,-514
geo,23416241,238,-124,-513
geo,23416250,236,-130,-519
geo,23416260,238,-122,-521
geo,23416271,241,-125,-521
geo,23416281,235,-129,-521
geo,23416290,236,-125,-514
geo,23416300,240,-129,-521
geo,23416310,235,-132,-521
geo,23416321,238,-127,-514
geo,23416331,228,-119,-508
geo,23416341,238,-125,-526
geo,23416350,236,-127,-519
geo,23416360,235,-127,-514
geo,23416370,235,-130,-516
geo,23416380,238,-125,-524
geo,23416390,240,-125,-524
geo,23416400,240,-125,-519
geo,23416410,238,-125,-516
geo,23416420,238,-129,-521
geo,23416430,231,-119,-533
geo,23416440,235,-124,-518
geo,23416450,238,-129,-519
geo,23416460,240,-129,-519
geo,23416470,240,-129,-514
geo,23416480,238,-127,-514
geo,23416490,238,-127,-521
geo,23416500,236,-129,-518
geo,23416510,241,-130,-518
geo,23416520,240,-127,-516
geo,23416530,238,-129,-519
geo,23416540,240,-125,-519
geo,23416550,238,-127,-523
geo,23416560,240,-125,-516
geo,23416570,238,-125,-518
geo,23416580,241,-130,-516
geo,23416590,240,-127,-514
geo,23416600,236,-122,-518
geo,23416610,236,-127,-521
geo,23416620,235,-125,-519
geo,23416630,235,-125,-523
geo,23416640,230,-120,-534
geo,23416650,236,-129,-519
geo,23416661,236,-125,-518
geo,23416671,236,-130,-519
geo,23416681,236,-124,-519
geo,23416691,238,-132,-513
geo,23416701,240,-130,-513
geo,23416711,233,-125,-513
geo,23416721,238,-127,-506
geo,23416731,236,-129,-508
geo,23416741,236,-130,-509
geo,23416751,241,-129,-508
geo,23416761,235,-125,-519
geo,23416771,235,-125,-508
geo,23416780,236,-129,-521
geo,23416791,231,-119,-533
geo,23416801,238,-127,-521
geo,23416811,235,-129,-518
geo,23416821,236,-130,-508
geo,23416831,238,-127,-513
geo,23416841,241,-129,-524
geo,23416851,238,-129,-519
geo,23416861,235,-120,-536
geo,23416870,240,-130,-519
geo,23416881,240,-125,-519
geo,23416891,235,-127,-519
geo,23416900,240,-127,-519
geo,23416911,240,-125,-521
geo,23416921,238,-127,-519
geo,23416931,238,-125,-523
geo,23416941,241,-127,-521
geo,23416951,241,-127,-518
geo,23416961,236,-134,-523
geo,23416970,238,-130,-519
geo,23416980,238,-129,-518
geo,23416991,230,-124,-508
geo,23417001,241,-127,-519
geo,23417010,240,-124,-519
geo,23417021,241,-127,-519
geo,23417030,240,-127,-518
geo,23417041,233,-120,-536
geo,23417050,235,-127,-521
geo,23417060,240,-125,-518
