Type,Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Type,Timestamp,Mag_X,Mag_Y,Mag_Z
ags,70610320,-3096,1160,11302,33,49,-82,geo,70610270,-247,182,-220
ags,70610330,-3123,1152,11275,39,62,-75,geo,70610280,-242,180,-220
ags,70610340,-3106,1138,11239,55,62,-66,geo,70610290,-242,175,-226
ags,70610350,-3123,1113,11246,49,49,-75,geo,70610301,-243,177,-221
ags,70610360,-3101,1118,11229,58,62,-66,geo,70610310,-247,173,-221
ags,70610370,-3121,1096,11253,49,49,-78,geo,70610321,-243,180,-223
ags,70610380,-3104,1142,11229,42,71,-88,geo,70610330,-247,182,-223
ags,70610390,-3121,1152,11292,42,89,-88,geo,70610341,-247,182,-225
ags,70610400,-3147,1118,11263,27,62,-82,geo,70610351,-243,180,-225
ags,70610410,-3169,1164,11231,39,59,-75,geo,70610361,-248,180,-225
ags,70610420,-3143,1186,11278,30,55,-72,geo,70610371,-243,177,-225
ags,70610430,-3111,1113,11251,49,65,-72,geo,70610381,-243,177,-223
ags,70610440,-3108,1140,11266,49,77,-54,geo,70610391,-242,177,-223
ags,70610450,-3108,1113,11271,55,52,-54,geo,70610401,-240,188,-223
ags,70610460,-3096,1160,11236,39,49,-75,geo,70610411,-258,197,-244
ags,70610470,-3160,1164,11256,42,68,-78,geo,70610421,-245,175,-220
ags,70610480,-3116,1116,11278,36,49,-63,geo,70610431,-243,182,-218
ags,70610490,-3130,1123,11275,39,55,-60,geo,70610441,-253,188,-239
ags,70610500,-3145,1169,11283,36,77,-85,geo,70610451,-252,178,-216
ags,70610510,-3111,1174,11307,42,74,-60,geo,70610461,-242,182,-221
ags,70610520,-3162,1113,11283,36,52,-69,geo,70610471,-248,173,-221
ags,70610530,-3138,1130,11244,18,68,-63,geo,70610481,-247,178,-221
ags,70610540,-3108,1164,11222,39,65,-94,geo,70610491,-248,177,-220
ags,70610550,-3130,1113,11246,49,49,-57,geo,70610501,-247,175,-221
ags,70610560,-3121,1174,11310,45,55,-88,geo,70610511,-243,180,-221
ags,70610570,-3125,1157,11217,42,68,-82,geo,70610521,-248,177,-218
ags,70610580,-3147,1145,11231,49,68,-75,geo,70610530,-245,175,-223
ags,70610590,-3094,1130,11280,61,62,-72,geo,70610541,-242,178,-220
ags,70610600,-3113,1123,11217,39,46,-72,geo,70610551,-260,190,-244
ags,70610610,-3125,1164,11261,45,68,-75,geo,70610561,-247,182,-221
ags,70610620,-3143,1162,11256,55,59,-94,geo,70610571,-247,178,-223
ags,70610630,-3138,1116,11319,45,40,-75,geo,70610581,-245,182,-220
ags,70610640,-3130,1167,11268,36,59,-66,geo,70610591,-250,175,-220
ags,70610650,-3133,1147,11256,33,74,-63,geo,70610601,-243,180,-221
ags,70610660,-3143,1140,11285,55,55,-72,geo,70610611,-247,172,-225
ags,70610670,-3094,1157,11236,33,59,-91,geo,70610621,-242,180,-225
ags,70610680,-3143,1140,11280,33,49,-54,geo,70610631,-245,183,-223
ags,70610690,-3111,1145,11236,36,59,-72,geo,70610641,-245,180,-226
ags,70610700,-3111,1128,11241,39,68,-66,geo,70610651,-247,182,-221
ags,70610710,-3123,1130,11231,52,43,-72,geo,70610661,-245,185,-223
ags,70610720,-3123,1147,11273,45,65,-88,geo,70610671,-245,175,-225
ags,70610730,-3150,1167,11241,33,52,-78,geo,70610681,-256,197,-244
ags,70610740,-3101,1128,11249,33,49,-88,geo,70610691,-245,178,-220
ags,70610750,-3150,1147,11231,61,62,-82,geo,70610701,-242,175,-218
ags,70610760,-3121,1174,11314,45,62,-72,geo,70610711,-245,178,-221
ags,70610770,-3128,1181,11236,45,43,-63,geo,70610721,-242,177,-218
ags,70610780,-3084,1135,11261,45,65,-69,geo,70610731,-245,180,-220
