,RASI_X,RASI_Y,RASI_Z,LASI_X,LASI_Y,LASI_Z,RPSI_X,RPSI_Y,RPSI_Z,LPSI_X,LPSI_Y,LPSI_Z,RKNE_X,RKNE_Y,RKNE_Z,LKNE_X,LKNE_Y,LKNE_Z,RANK_X,RANK_Y,RANK_Z,LANK_X,LANK_Y,LANK_Z,RTOE_X,RTOE_Y,RTOE_Z,LTOE_X,LTOE_Y,LTOE_Z,RHEE_X,RHEE_Y,RHEE_Z,LHEE_X,LHEE_Y,LHEE_Z,RKNE2_X,RKNE2_Y,RKNE2_Z,LKNE2_X,LKNE2_Y,LKNE2_Z,RANK2_X,RANK2_Y,RANK2_Z,LANK2_X,LANK2_Y,LANK2_Z
158,-24.914,636.467,941.063,-25.833,402.057,950.588,135.932,561.768,967.646,138.145,474.545,971.091,74.223,675.685,474.283,72.977,349.246,476.272,124.854,677.912,80.57,118.388,351.154,79.635,-69.236,664.588,50.66,-71.199,366.161,51.549,184.973,619.367,57.45,183.195,400.971,49.421,75.72,568.968,455.05,78.219,459.856,469.167,102.748,592.551,100.084,85.902,437.357,101.634
159,-25.0,636.484,941.052,-25.938,402.073,950.578,135.867,561.799,967.64,138.029,474.435,971.122,74.174,675.654,474.237,72.923,349.272,476.275,124.857,677.913,80.571,118.386,351.163,79.639,-69.26,664.655,50.682,-71.216,366.137,51.57,184.953,619.366,57.449,183.2,401.052,49.361,75.69,568.97,455.033,78.186,459.94,469.161,102.695,592.579,100.068,85.888,437.376,101.637
160,-25.062,636.466,941.029,-26.013,402.059,950.59,135.77,561.815,967.631,137.919,474.394,971.144,74.148,675.642,474.274,72.886,349.277,476.259,124.844,677.899,80.6,118.391,351.189,79.614,-69.247,664.613,50.665,-71.197,366.112,51.547,184.957,619.344,57.442,183.195,400.971,49.421,75.668,568.954,455.055,78.159,459.846,469.085,102.73,592.523,100.097,85.874,437.396,101.64
161,-25.171,636.506,941.043,-26.107,402.125,950.573,135.69,561.784,967.64,137.828,474.313,971.167,74.107,675.572,474.186,72.821,349.248,476.281,124.839,677.927,80.588,118.39,351.196,79.642,-69.227,664.641,50.667,-71.216,366.137,51.57,184.952,619.36,57.46,183.195,400.971,49.421,75.597,568.966,455.067,78.097,459.889,469.099,102.729,592.554,100.105,85.897,437.393,101.623
162,-25.274,636.45,941.016,-26.192,402.133,950.55,135.577,561.826,967.67,137.735,474.312,971.196,74.093,675.636,474.285,72.756,349.241,476.273,124.834,677.912,80.591,118.356,351.201,79.587,-69.261,664.646,50.673,-71.198,366.136,51.526,184.958,619.347,57.441,183.224,400.932,49.451,75.546,568.992,455.029,78.067,459.927,469.173,102.703,592.581,100.084,85.889,437.36,101.661
163,-25.342,636.442,940.994,-26.283,402.064,950.589,135.498,561.812,967.668,137.643,474.308,971.2,74.053,675.552,474.209,72.711,349.284,476.262,124.847,677.898,80.607,118.387,351.161,79.662,-69.246,664.596,50.649,-71.211,366.112,51.546,184.941,619.327,57.482,183.191,400.935,49.442,75.473,568.962,455.055,78.045,459.949,469.166,102.715,592.562,100.084,85.897,437.393,101.623
164,-25.456,636.482,940.987,-26.353,402.091,950.557,135.388,561.804,967.666,137.524,474.331,971.172,74.02,675.617,474.22,72.677,349.252,476.311,124.834,677.912,80.591,118.385,351.17,79.666,-69.242,664.62,50.643,-71.216,366.136,51.527,184.946,619.339,57.468,183.222,400.943,49.432,75.478,569.001,455.026,78.035,459.924,469.225,102.694,592.55,100.077,85.868,437.367,101.642
165,-25.536,636.431,940.988,-26.468,402.083,950.554,135.32,561.838,967.68,137.436,474.314,971.2,74.003,675.544,474.189,72.623,349.238,476.287,124.829,677.903,80.581,118.358,351.193,79.68,-69.223,664.648,50.645,-71.23,366.135,51.526,184.944,619.317,57.475,183.195,400.969,49.444,75.455,568.984,455.019,77.966,459.914,469.156,102.697,592.534,100.097,85.858,437.39,101.608
166,-25.641,636.466,941.002,-26.548,402.104,950.558,135.188,561.832,967.707,137.327,474.334,971.223,73.945,675.574,474.212,72.602,349.227,476.297,124.841,677.875,80.568,118.39,351.194,79.665,-69.222,664.617,50.651,-71.217,366.16,51.549,184.939,619.369,57.461,183.197,401.011,49.451,75.392,568.977,455.041,77.954,459.951,469.201,102.694,592.587,100.091,85.868,437.367,101.641
167,-25.724,636.478,940.991,-26.647,402.087,950.548,135.116,561.835,967.717,137.263,474.301,971.205,73.881,675.63,474.29,72.556,349.233,476.291,124.842,677.871,80.549,118.388,351.159,79.685,-69.222,664.617,50.65,-71.216,366.136,51.527,184.944,619.332,57.481,183.194,400.976,49.472,75.374,568.958,455.047,77.875,459.891,469.237,102.696,592.581,100.066,85.848,437.373,101.622
